Item Category,Item Description, Excellent,Very Good,Good
Automotive Supplies,Automotive: Amplifier,$81.71 ,$69.46 ,$57.20 
Automotive Supplies,Automotive: Antenna Ornament,$5.10 ,$4.34 ,$3.57 
Automotive Supplies,Automotive: Bra,$11.79 ,$10.02 ,$8.25 
Automotive Supplies,Automotive: Car Cover,$18.52 ,$15.74 ,$12.96 
Automotive Supplies,Automotive: Cassette Deck,$18.52 ,$15.74 ,$12.96 
Automotive Supplies,Automotive: CD Changer: 10 Disc,$29.50 ,$25.08 ,$20.65 
Automotive Supplies,Automotive: CD Changers: 12 Disc,$29.50 ,$25.08 ,$20.65 
Automotive Supplies,Automotive: CD Changers: 6 Disc,$47.73 ,$40.57 ,$33.41 
Automotive Supplies,Automotive: Cup Holder,$4.60 ,$3.91 ,$3.22 
Automotive Supplies,Automotive: Dancing Hula Girl,$8.18 ,$6.96 ,$5.73 
Automotive Supplies,Automotive: Dashboard Cover,$16.26 ,$13.82 ,$11.38 
Automotive Supplies,Automotive: DVD Player,$49.26 ,$41.87 ,$34.48 
Automotive Supplies,Automotive: Floor Mats (Set),$20.92 ,$17.78 ,$14.64 
Automotive Supplies,Automotive: Fuzzy Dice,$5.36 ,$4.56 ,$3.75 
Automotive Supplies,Automotive: Hood Ornament,$18.07 ,$15.36 ,$12.65 
Automotive Supplies,Automotive: Ice Scraper,$3.67 ,$3.12 ,$2.57 
Automotive Supplies,Automotive: Jack,$26.93 ,$22.89 ,$18.85 
Automotive Supplies,Automotive: Jumper Cables,$21.95 ,$18.66 ,$15.37 
Automotive Supplies,Automotive: Keychain,$5.21 ,$4.43 ,$3.65 
Automotive Supplies,Automotive: License Plate Frame,$5.82 ,$4.95 ,$4.07 
Automotive Supplies,Automotive: Monitor,$19.43 ,$16.52 ,$13.60 
Automotive Supplies,Automotive: Mud Guards (Set),$8.03 ,$6.83 ,$5.62 
Automotive Supplies,Automotive: Receiver: AM/FM,$30.03 ,$25.53 ,$21.02 
Automotive Supplies,Automotive: Receiver: Cassette,$17.15 ,$14.58 ,$12.01 
Automotive Supplies,Automotive: Receiver: CD,$33.92 ,$28.83 ,$23.74 
Automotive Supplies,Automotive: Receiver: CD/Cassette,$33.92 ,$28.83 ,$23.74 
Automotive Supplies,Automotive: Receiver: CD/MP3 Receiver,$41.57 ,$35.34 ,$29.10 
Automotive Supplies,Automotive: Seat Cover,$15.81 ,$13.44 ,$11.07 
Automotive Supplies,Automotive: Speakers (Pair),$36.02 ,$30.62 ,$25.21 
Automotive Supplies,Automotive: Steering Wheel Cover,$37.13 ,$31.56 ,$25.99 
Automotive Supplies,Automotive: Subwoofer,$42.79 ,$36.37 ,$29.95 
Automotive Supplies,Automotive: Sun Shade,$13.72 ,$11.66 ,$9.60 
Automotive Supplies,Automotive: Tire Pressure Gauge,$4.86 ,$4.13 ,$3.40 
Automotive Supplies,Automotive: VHS Player,$33.59 ,$28.55 ,$23.51 
Automotive Supplies,Automotive: Window Decal,$5.10 ,$4.34 ,$3.57 
Baby Gear,Baby Monitor: Audio,$16.78 ,$14.27 ,$11.75 
Baby Gear,Baby Monitor: Movement,$24.18 ,$20.56 ,$16.93 
Baby Gear,Baby Monitor: Video,$31.65 ,$26.91 ,$22.16 
Baby Gear,Baby Rattle,$2.78 ,$2.37 ,$1.95 
