id,category_id,name,item_variant,description,value_good,value_very_good,value_excellent,source_reference,date_of_valuation,search_keywords,original_description
1,1,Amplifier,,Amplifier,57.2,69.46,81.71,ItsDeductible 2024,2024-01-01,automotive supplies amplifier,Automotive: Amplifier
2,1,Antenna Ornament,,Antenna Ornament,3.57,4.34,5.1,ItsDeductible 2024,2024-01-01,automotive supplies antenna ornament,Automotive: Antenna Ornament
3,1,Bra,,Bra,8.25,10.02,11.79,ItsDeductible 2024,2024-01-01,automotive supplies bra,Automotive: Bra
4,1,Car Cover,,Car Cover,12.96,15.74,18.52,ItsDeductible 2024,2024-01-01,automotive supplies car cover,Automotive: Car Cover
5,1,Cassette Deck,,Cassette Deck,12.96,15.74,18.52,ItsDeductible 2024,2024-01-01,automotive supplies cassette deck,Automotive: Cassette Deck
6,1,CD Changer,10 Disc,CD Changer: 10 Disc,20.65,25.08,29.5,ItsDeductible 2024,2024-01-01,automotive supplies cd changer 10 disc,Automotive: CD Changer: 10 Disc
7,1,CD Changers,12 Disc,CD Changers: 12 Disc,20.65,25.08,29.5,ItsDeductible 2024,2024-01-01,automotive supplies cd changers 12 disc,Automotive: CD Changers: 12 Disc
8,1,CD Changers,6 Disc,CD Changers: 6 Disc,33.41,40.57,47.73,ItsDeductible 2024,2024-01-01,automotive supplies cd changers disc,Automotive: CD Changers: 6 Disc
9,1,Cup Holder,,Cup Holder,3.22,3.91,4.6,ItsDeductible 2024,2024-01-01,automotive supplies cup holder,Automotive: Cup Holder
10,1,Dancing Hula Girl,,Dancing Hula Girl,5.73,6.96,8.18,ItsDeductible 2024,2024-01-01,automotive supplies dancing hula girl,Automotive: Dancing Hula Girl
11,1,Dashboard Cover,,Dashboard Cover,11.38,13.82,16.26,ItsDeductible 2024,2024-01-01,automotive supplies dashboard cover,Automotive: Dashboard Cover
12,1,DVD Player,,DVD Player,34.48,41.87,49.26,ItsDeductible 2024,2024-01-01,automotive supplies dvd player,Automotive: DVD Player
13,1,Floor Mats (Set),,Floor Mats (Set),14.64,17.78,20.92,ItsDeductible 2024,2024-01-01,automotive supplies floor mats (set),Automotive: Floor Mats (Set)
14,1,Fuzzy Dice,,Fuzzy Dice,3.75,4.56,5.36,ItsDeductible 2024,2024-01-01,automotive supplies fuzzy dice,Automotive: Fuzzy Dice
15,1,Hood Ornament,,Hood Ornament,12.65,15.36,18.07,ItsDeductible 2024,2024-01-01,automotive supplies hood ornament,Automotive: Hood Ornament
16,1,Ice Scraper,,Ice Scraper,2.57,3.12,3.67,ItsDeductible 2024,2024-01-01,automotive supplies ice scraper,Automotive: Ice Scraper
17,1,Jack,,Jack,18.85,22.89,26.93,ItsDeductible 2024,2024-01-01,automotive supplies jack,Automotive: Jack
18,1,Jumper Cables,,Jumper Cables,15.37,18.66,21.95,ItsDeductible 2024,2024-01-01,automotive supplies jumper cables,Automotive: Jumper Cables
19,1,Keychain,,Keychain,3.65,4.43,5.21,ItsDeductible 2024,2024-01-01,automotive supplies keychain,Automotive: Keychain
20,1,License Plate Frame,,License Plate Frame,4.07,4.95,5.82,ItsDeductible 2024,2024-01-01,automotive supplies license plate frame,Automotive: License Plate Frame
21,1,Monitor,,Monitor,13.6,16.52,19.43,ItsDeductible 2024,2024-01-01,automotive supplies monitor,Automotive: Monitor
22,1,Mud Guards (Set),,Mud Guards (Set),5.62,6.83,8.03,ItsDeductible 2024,2024-01-01,automotive supplies mud guards (set),Automotive: Mud Guards (Set)
23,1,Receiver,AM/FM,Receiver: AM/FM,21.02,25.53,30.03,ItsDeductible 2024,2024-01-01,automotive supplies receiver am/fm,Automotive: Receiver: AM/FM
24,1,Receiver,Cassette,Receiver: Cassette,12.01,14.58,17.15,ItsDeductible 2024,2024-01-01,automotive supplies receiver cassette,Automotive: Receiver: Cassette
25,1,Receiver,CD,Receiver: CD,23.74,28.83,33.92,ItsDeductible 2024,2024-01-01,automotive supplies receiver cd,Automotive: Receiver: CD
26,1,Receiver,CD/Cassette,Receiver: CD/Cassette,23.74,28.83,33.92,ItsDeductible 2024,2024-01-01,automotive supplies receiver cd/cassette,Automotive: Receiver: CD/Cassette
27,1,Receiver,CD/MP3 Receiver,Receiver: CD/MP3 Receiver,29.1,35.34,41.57,ItsDeductible 2024,2024-01-01,automotive supplies receiver cd/mp3,Automotive: Receiver: CD/MP3 Receiver
28,1,Seat Cover,,Seat Cover,11.07,13.44,15.81,ItsDeductible 2024,2024-01-01,automotive supplies seat cover,Automotive: Seat Cover
