name,ein,category,website,description
"KAISER FOUNDATION HEALTH PLAN INC","941340523","Health","","Health organization with annual revenue of approximately $75101M"
"KAISER FOUNDATION HOSPITALS","941105628","Health","","Health organization with annual revenue of approximately $32787M"
"UPMC","208295721","Other","","Other organization with annual revenue of approximately $24322M"
"MASS GENERAL BRIGHAM INCORPORATED AND AFFILIATES GROUP RTN","900656139","Health","","Health organization with annual revenue of approximately $23474M"
"FIDELITY INVESTMENTS CHARITABLE GIFT FUND","110303001","Human Services","","Human Services organization with annual revenue of approximately $18985M"
"COMMONSPIRIT HEALTH","852012520","Health","","Health organization with annual revenue of approximately $17642M"
"UPMC PRESBYTERIAN SHADYSIDE","258850701","Health","","Health organization with annual revenue of approximately $16764M"
"SCHWAB CHARITABLE FUND","310655241","Human Services","","Human Services organization with annual revenue of approximately $16611M"
"ADVENTHEALTH SYSTEM SUNBELT HEALTHCARE CORPORATION","591014514","Health","","Health organization with annual revenue of approximately $15870M"
"VANGUARD CHARITABLE ENDOWMENT PROGRAM","237080269","Human Services","","Human Services organization with annual revenue of approximately $14852M"
"NORTHWELL HEALTH INC","113002691","Health","","Health organization with annual revenue of approximately $14752M"
"KAISER PERMANENTE NORTHERN CALIFORNIA REGION HOSPITALS","943274385","Health","","Health organization with annual revenue of approximately $14473M"
"TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA","231352685","Education","","Education organization with annual revenue of approximately $13827M"
"THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK","135598093","Education","","Education organization with annual revenue of approximately $13655M"
"THE LELAND STANFORD JUNIOR UNIVERSITY","941156365","Education","","Education organization with annual revenue of approximately $13463M"
"YALE UNIVERSITY","060646973","Education","","Education organization with annual revenue of approximately $13378M"
"NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC","561983149","Religion","","Religion organization with annual revenue of approximately $13241M"
"MOUNT SINAI HOSPITALS GROUP INC","131624074","Health","","Health organization with annual revenue of approximately $13063M"
"DUKE UNIVERSITY","560532129","Education","","Education organization with annual revenue of approximately $12998M"
"NEW YORK-PRESBYTERIAN HOSPITAL","131740302","Health","","Health organization with annual revenue of approximately $12969M"
"JOHNS HOPKINS UNIVERSITY","520595110","Education","","Education organization with annual revenue of approximately $12895M"
"SUTTER HEALTH","941525627","Health","","Health organization with annual revenue of approximately $12853M"
"DIGNITY HEALTH","943243325","Health","","Health organization with annual revenue of approximately $12614M"
"MAYO CLINIC","416042339","Health","","Health organization with annual revenue of approximately $12579M"
"NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL","111633644","Health","","Health organization with annual revenue of approximately $12568M"
"THE JOHNS HOPKINS HOSPITAL","520591656","Health","","Health organization with annual revenue of approximately $12490M"
"THE CLEVELAND CLINIC FOUNDATION","340714575","Health","","Health organization with annual revenue of approximately $12433M"
"THE UNIVERSITY OF SOUTHERN CALIFORNIA","951642394","Education","","Education organization with annual revenue of approximately $12276M"
"CORNELL UNIVERSITY","150532082","Education","","Education organization with annual revenue of approximately $12145M"
"CEDARS-SINAI MEDICAL CENTER","951902268","Health","","Health organization with annual revenue of approximately $12048M"
"NORTHWESTERN UNIVERSITY","362167817","Education","","Education organization with annual revenue of approximately $11975M"
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA UCLA MEDICAL CENTER","956006144","Education","","Education organization with annual revenue of approximately $11946M"
"THE UNIVERSITY OF CHICAGO","362177139","Education","","Education organization with annual revenue of approximately $11945M"
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","042103594","Education","","Education organization with annual revenue of approximately $11737M"
"PRESIDENT AND FELLOWS OF HARVARD COLLEGE","042103580","Education","","Education organization with annual revenue of approximately $11730M"
"UNIVERSITY OF NOTRE DAME DU LAC","350868188","Education","","Education organization with annual revenue of approximately $11569M"
"WASHINGTON UNIVERSITY","430653611","Education","","Education organization with annual revenue of approximately $11537M"
"FEEDING AMERICA","363673599","Human Services","","Human Services organization with annual revenue of approximately $11233M"
"EMORY UNIVERSITY","580566256","Education","","Education organization with annual revenue of approximately $11117M"
"CATHOLIC HEALTH INITIATIVES COLORADO","840450040","Health","","Health organization with annual revenue of approximately $10980M"
"UNIVERSITY OF MIAMI","590624458","Health","","Health organization with annual revenue of approximately $10868M"
"THE METHODIST HOSPITAL","741138265","Health","","Health organization with annual revenue of approximately $10850M"
"BAYLOR COLLEGE OF MEDICINE","741613878","Education","","Education organization with annual revenue of approximately $10761M"
"HARVARD MANAGEMENT PRIVATE EQUITY CORPORATION","043258260","Education","","Education organization with annual revenue of approximately $10709M"
"THE TRUSTEES OF PRINCETON UNIVERSITY","210634501","Education","","Education organization with annual revenue of approximately $10681M"
"TEXAS CHILDRENS HOSPITAL","760608157","Health","","Health organization with annual revenue of approximately $10593M"
"CHILDREN'S HOSPITAL OF PHILADELPHIA","231352166","Health","","Health organization with annual revenue of approximately $10488M"
"JEFFERSON HEALTH","231847926","Health","","Health organization with annual revenue of approximately $10477M"
"VANDERBILT UNIVERSITY","620476822","Education","","Education organization with annual revenue of approximately $10417M"
"SPECTRUM HEALTH SYSTEM","381681825","Health","","Health organization with annual revenue of approximately $10265M"
"NEW YORK UNIVERSITY","135562308","Education","","Education organization with annual revenue of approximately $10255M"
