name,ein,category,address,city,state,zip_code,website,description,phone
CONNECTICUT CHILDRENS SPECIALTY GROUP INC,061446900,Health,282 WASHINGTON ST,HARTFORD,CT,06106-3322,,"Health organization in HARTFORD, CT with annual revenue of approximately $170M",
SECOND HARVEST FOOD BANK OF METROLINA INC,561352593,Human Services,500 SPRATT ST STE B,CHARLOTTE,NC,28206-3235,,"Human Services organization in CHARLOTTE, NC with annual revenue of approximately $170M",
SESAME WORKSHOP,132655731,Arts & Culture,1900 BROADWAY,NEW YORK,NY,10023-7004,,"Arts & Culture organization in NEW YORK, NY with annual revenue of approximately $170M",
STEVENSON UNIVERSITY INC,520705392,Education,100 CAMPUS CIR,OWINGS MILLS,MD,21117-7803,,"Education organization in OWINGS MILLS, MD with annual revenue of approximately $170M",
AUGUSTANA COLLEGE,362166962,Education,639 38TH ST,ROCK ISLAND,IL,61201-2210,,"Education organization in ROCK ISLAND, IL with annual revenue of approximately $169M",
EMORY & CHILDRENS PEDIATRIC INSTITUTE INC,581692698,Other,1599 CLIFTON RD NE,ATLANTA,GA,30322-4250,,"Other organization in ATLANTA, GA with annual revenue of approximately $169M",
PENSACOLA CHRISTIAN COLLEGE INC,590940532,Education,250 BRENT LN,PENSACOLA,FL,32503-2267,,"Education organization in PENSACOLA, FL with annual revenue of approximately $169M",
THE COMMUNITY FDN OF MIDDLE TN INC,621471789,Community,3421 BELMONT BLVD,NASHVILLE,TN,37215-1605,,"Community organization in NASHVILLE, TN with annual revenue of approximately $169M",
HIGHLANDS ADULT & COMMUNITY CHARTER SCHOOL,461190967,Education,1333 GRAND AVE,SACRAMENTO,CA,95838-3654,,"Education organization in SACRAMENTO, CA with annual revenue of approximately $169M",
SOUTH MIDDLESEX OPPORTUNITY COUNCIL INC,042389659,Human Services,7 BISHOP ST,FRAMINGHAM,MA,01702-8323,,"Human Services organization in FRAMINGHAM, MA with annual revenue of approximately $169M",
WHITMAN COLLEGE BOARD OF TRUSTEES,910567740,Education,345 BOYER AVE,WALLA WALLA,WA,99362-2067,,"Education organization in WALLA WALLA, WA with annual revenue of approximately $169M",
COMMUNITY ACTION PARTNERSHIP OF KERN,952402760,Human Services,1300 18TH ST STE 200,BAKERSFIELD,CA,93301-4510,,"Human Services organization in BAKERSFIELD, CA with annual revenue of approximately $169M",
METHODIST MEDICAL CENTER,620636239,Health,1420 CENTERPOINT BLVD BLDG C,KNOXVILLE,TN,37932-1960,,"Health organization in KNOXVILLE, TN with annual revenue of approximately $169M",
HEBREW REHABILITATION CENTER,042104298,Health,1200 CENTRE ST,BOSTON,MA,02131-1000,,"Health organization in BOSTON, MA with annual revenue of approximately $168M",
MANAGEMENT SCIENCES FOR HEALTH INC,042482188,International,200 RIVERS EDGE DRIVE,MEDFORD,MA,02155-5479,,"International organization in MEDFORD, MA with annual revenue of approximately $168M",
ROSE-HULMAN INSTITUTE OF TECHNOLOGY,350868149,Other,5500 WABASH AVENUE CM 21,TERRE HAUTE,IN,47803-3920,,"Other organization in TERRE HAUTE, IN with annual revenue of approximately $168M",
CHRISTIAN AID MINISTRIES,341344364,Religion,PO BOX 360,BERLIN,OH,44610-0360,,"Religion organization in BERLIN, OH with annual revenue of approximately $168M",
EASTERN MAINE HEALTHCARE SYSTEMS,010372148,Health,PO BOX 151,PRESQUE ISLE,ME,04769-0151,,"Health organization in PRESQUE ISLE, ME with annual revenue of approximately $168M",
LAKE REGION HEALTHCARE CORPORATION,410730602,Health,712 S CASCADE ST,FERGUS FALLS,MN,56537-2913,,"Health organization in FERGUS FALLS, MN with annual revenue of approximately $168M",
BROTHERS BROTHER FOUNDATION,346562544,International,1200 GALVESTON AVE,PITTSBURGH,PA,15233-1604,,"International organization in PITTSBURGH, PA with annual revenue of approximately $168M",
CATHOLIC ORDER OF FORESTERS,360879870,Other,355 SHUMAN BLVD,NAPERVILLE,IL,60563-1270,,"Other organization in NAPERVILLE, IL with annual revenue of approximately $168M",
REGENT UNIVERSITY,541061178,Other,1000 REGENT UNIVERSITY DR,VIRGINIA BCH,VA,23464-5037,,"Other organization in VIRGINIA BCH, VA with annual revenue of approximately $168M",
CHILDRENS HOME SOCIETY OF CALIFORNIA & AFFILIATED CHAPTERS,951690976,Human Services,1300 W 4TH ST,LOS ANGELES,CA,90017-1475,,"Human Services organization in LOS ANGELES, CA with annual revenue of approximately $168M",
BROOKLYN PUBLIC LIBRARY,111904261,Education,1 GRAND ARMY PLAZA,BROOKLYN,NY,11238-5611,,"Education organization in BROOKLYN, NY with annual revenue of approximately $168M",
HENRY E HUNTINGTON LIBRARY & ART GALLERY,951644589,Arts & Culture,1151 OXFORD RD,SAN MARINO,CA,91108-1218,,"Arts & Culture organization in SAN MARINO, CA with annual revenue of approximately $167M",
MONTEFIORE NEW ROCHELLE HOSPITAL,462931956,Health,16 GUION PL,NEW ROCHELLE,NY,10801-5502,,"Health organization in NEW ROCHELLE, NY with annual revenue of approximately $167M",
ORANGE COUNTY COMMUNITY FOUNDATION,330378778,Community,19200 VON KARMAN AVE STE 700,IRVINE,CA,92612-8518,,"Community organization in IRVINE, CA with annual revenue of approximately $167M",
KUAKINI MEDICAL CENTER,990074139,Health,347 N KUAKINI ST,HONOLULU,HI,96817-2306,,"Health organization in HONOLULU, HI with annual revenue of approximately $167M",
UNITY HEALTH CARE INC,521572431,Health,1100NEWJERSEY AVE SE500,WASHINGTON,DC,20003-3302,,"Health organization in WASHINGTON, DC with annual revenue of approximately $167M",
MED CENTRO INC,660292961,Other,PO BOX 220,MERCEDITA,PR,00715-0220,,"Other organization in MERCEDITA, PR with annual revenue of approximately $167M",
LIFELINK FOUNDATION INC,592193032,Health,9661 DELANEY CREEK BLVD,TAMPA,FL,33619-5121,,"Health organization in TAMPA, FL with annual revenue of approximately $167M",
