name,ein,category,website,description
KAISER FOUNDATION HEALTH PLAN INC,941340523,Health,,Health organization with annual revenue of $75.1B
KAISER FOUNDATION HOSPITALS,941105628,Health,,Health organization with annual revenue of $32.8B
UPMC,208295721,Other,,Other organization with annual revenue of $24.3B
MASS GENERAL BRIGHAM INCORPORATED AND AFFILIATES GROUP RTN,900656139,Health,,Health organization with annual revenue of $23.5B
FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,Human Services,,Human Services organization with annual revenue of $19.0B
NATIONAL PHILANTHROPIC TR,237825575,Human Services,,Human Services organization with annual revenue of $15.9B
CLEVELAND CLINIC FOUNDATION,912153073,Health,,Health organization with annual revenue of $15.6B
MAYO CLINIC GROUP RETURN,383952644,Health,,Health organization with annual revenue of $14.0B
BATTELLE MEMORIAL INSTITUTE,314379427,Research,,Research organization with annual revenue of $13.3B
HEALTHFIRST PHSP INC,133783732,Health,,Health organization with annual revenue of $12.1B
NEW YORK UNIVERSITY,135562308,Education,,Education organization with annual revenue of $11.6B
DIGNITY HEALTH,941196203,Health,,Health organization with annual revenue of $11.3B
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,231352685,Education,,Education organization with annual revenue of $10.7B
JOHNS HOPKINS UNIVERSITY,520595110,Education,,Education organization with annual revenue of $10.5B
COREWELL HEALTH,611740292,Health,,Health organization with annual revenue of $10.4B
THE NEW YORK AND PRESBYTERIAN HOSPITAL,133957095,Health,,Health organization with annual revenue of $10.3B
NORTHWESTERN MEMORIAL HEALTHCARE,364724966,Health,,Health organization with annual revenue of $10.1B
PROVIDENCE HEALTH & SERVICES WASHINGTON,510216586,Health,,Health organization with annual revenue of $9.8B
DONOR ADVISED CHARITABLE GIVING,311640316,Human Services,,Human Services organization with annual revenue of $9.7B
IHC HEALTH SERVICES INC,942854057,Health,,Health organization with annual revenue of $9.6B
THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,941156365,Education,,Education organization with annual revenue of $9.5B
BANNER HEALTH,450233470,Health,,Health organization with annual revenue of $9.5B
NYU LANGONE HOSPITALS,133971298,Health,,Health organization with annual revenue of $9.5B
THE CLEVELAND CLINIC FOUNDATION,340714585,Health,,Health organization with annual revenue of $9.0B
BON SECOURS MERCY HEALTH INC,521301088,Health,,Health organization with annual revenue of $8.7B
MEMORIAL HERMANN HEALTH SYSTEM,741152597,Health,,Health organization with annual revenue of $8.5B
CARESOURCE OHIO INC,311143265,Health,,Health organization with annual revenue of $8.5B
STANFORD HEALTH CARE 227,946174066,Health,,Health organization with annual revenue of $8.0B
NORTHSIDE HOSPITAL INC,581954432,Health,,Health organization with annual revenue of $7.8B
VANDERBILT UNIVERSITY MEDICAL CENTER,352528741,Health,,Health organization with annual revenue of $7.7B
PRESIDENT AND FELLOWS OF HARVARD COLLEGE,042103580,Education,,Education organization with annual revenue of $7.7B
HACKENSACK MERIDIAN HEALTH INC,010649794,Health,,Health organization with annual revenue of $7.5B
MEMORIAL SLOAN-KETTERING CANCER CENTER,912154267,Health,,Health organization with annual revenue of $7.5B
MAYO CLINIC,416011702,Health,,Health organization with annual revenue of $7.4B
TRUSTEES OF COLUMBIA UNIVERSITY,135598093,Education,,Education organization with annual revenue of $7.3B
EMORY UNIVERSITY,580566256,Education,,Education organization with annual revenue of $7.3B
RWJ BARNABAS HEALTH INC,851296795,Health,,Health organization with annual revenue of $7.1B
ADVENTIST HEALTH SYSTEM SUNBELT INC,591479658,Health,,Health organization with annual revenue of $7.1B
ADVOCATE HEALTH AND HOSPITALS CORPORATION,362169147,Health,,Health organization with annual revenue of $6.9B
YALE UNIVERSITY,060646973,Education,,Education organization with annual revenue of $6.8B
AURORA HEALTH CARE INC,611649250,Other,,Other organization with annual revenue of $6.8B
BJC HEALTH SYSTEM,753052953,Health,,Health organization with annual revenue of $6.7B
CORNELL UNIVERSITY,150532082,Education,,Education organization with annual revenue of $6.6B
UNIVERSITY OF MIAMI,590624458,Education,,Education organization with annual revenue of $6.5B
