name,ein,category,address,city,state,zip_code,website,description,phone
COLLEGE OF THE OZARKS,440556862,Education,100 OPPORTUNITY AVE,POINT LOOKOUT,MO,65726-0000,,"Education organization in POINT LOOKOUT, MO with annual revenue of approximately $115M",
CHIMES DISTRICT OF COLUMBIA INC,541691953,Human Services,4815 SETON DR,BALTIMORE,MD,21215-3211,,"Human Services organization in BALTIMORE, MD with annual revenue of approximately $115M",
CATALYST FAMILY INC,942376637,Education,350 WOODVIEW AVE STE 100,MORGAN HILL,CA,95037-8105,,"Education organization in MORGAN HILL, CA with annual revenue of approximately $115M",
THE CHICAGO SCHOOL - CALIFORNIA INC,900394713,Other,203 N LA SALLE ST STE 1900,CHICAGO,IL,60601-1263,,"Other organization in CHICAGO, IL with annual revenue of approximately $115M",
AIM SERVICES INC,141609398,Human Services,4227 ROUTE 50,SARATOGA SPGS,NY,12866-2927,,"Human Services organization in SARATOGA SPGS, NY with annual revenue of approximately $115M",
AMERICAN SOCIETY FOR TECHNION- ISRAEL INSTITUTE OF TECHNOLOGY INC,130434195,International,55 EAST 59TH STREET 14TH FLOOR,NEW YORK,NY,10022-1112,,"International organization in NEW YORK, NY with annual revenue of approximately $115M",
YOUTH ADVOCATE PROGRAMS INC,231977514,Human Services,3899 N FRONT ST,HARRISBURG,PA,17110-1535,,"Human Services organization in HARRISBURG, PA with annual revenue of approximately $115M",
REGIONAL FOOD BANK OF OKLAHOMA,731100380,Human Services,3355 S PURDUE ST,OKLAHOMA CITY,OK,73179-7640,,"Human Services organization in OKLAHOMA CITY, OK with annual revenue of approximately $115M",
ROCKHURST UNIVERSITY,440545813,Education,1100 ROCKHURST RD,KANSAS CITY,MO,64110-2508,,"Education organization in KANSAS CITY, MO with annual revenue of approximately $115M",
INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS INC,351925641,Health,950 N MERIDIAN ST STE 1200,INDIANAPOLIS,IN,46204-1011,,"Health organization in INDIANAPOLIS, IN with annual revenue of approximately $115M",
KINGS DAUGHTERS MEDICAL CENTER,640333594,Health,PO BOX 948,BROOKHAVEN,MS,39602-0948,,"Health organization in BROOKHAVEN, MS with annual revenue of approximately $115M",
HARBOR HEALTH SERVICES INC,237100550,Health,1135 MORTON ST,MATTAPAN,MA,02126-2834,,"Health organization in MATTAPAN, MA with annual revenue of approximately $115M",
VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES INC,133224700,Other,770 E 176TH ST FL 6,BRONX,NY,10460-4617,,"Other organization in BRONX, NY with annual revenue of approximately $115M",
HUMAN CARE SERVICES FOR FAMILIES & CHILDREN INC,113338946,Health,1042 38TH ST,BROOKLYN,NY,11219-1011,,"Health organization in BROOKLYN, NY with annual revenue of approximately $115M",
UNIVERSITY OF TOLEDO PHYSICIANS CLINICAL FACILITY INC,201304472,Other,4510 DORR ST,TOLEDO,OH,43615-4040,,"Other organization in TOLEDO, OH with annual revenue of approximately $115M",
IOWA STUDENT LOAN LIQUIDITY CORP,421137531,Education,6805 VISTA DR,WDM,IA,50266-9307,,"Education organization in WDM, IA with annual revenue of approximately $115M",
ASIA FOUNDATION,941191246,International,465 CALIFORNIA STREET 7TH FLOOR,SAN FRANCISCO,CA,94104-1804,,"International organization in SAN FRANCISCO, CA with annual revenue of approximately $115M",
BREAKTHROUGH ENERGY FOUNDATION,853672460,Community,PO BOX 563,KIRKLAND,WA,98083-0563,,"Community organization in KIRKLAND, WA with annual revenue of approximately $115M",
MONARCH,561326126,Human Services,350 PEE DEE AVE STE A,ALBEMARLE,NC,28001-4932,,"Human Services organization in ALBEMARLE, NC with annual revenue of approximately $115M",
ROME MEMORIAL HOSPITAL INC,161471634,Health,1500 N JAMES ST,ROME,NY,13440-2844,,"Health organization in ROME, NY with annual revenue of approximately $115M",
UNIVERSITY OF MASSACHUSETTS GLOBAL,260152908,Education,65 ENTERPRISE STE 150,ALISO VIEJO,CA,92656-2707,,"Education organization in ALISO VIEJO, CA with annual revenue of approximately $114M",
BJU INC,571088101,Education,1700 WADE HAMPTON BLVD,GREENVILLE,SC,29614-1000,,"Education organization in GREENVILLE, SC with annual revenue of approximately $114M",
SISKIYOU HOSPITAL INC,941623075,Health,444 BRUCE ST,YREKA,CA,96097-3450,,"Health organization in YREKA, CA with annual revenue of approximately $114M",
LAKEVIEW CENTER INC,590737872,Health,1221 W LAKEVIEW AVE,PENSACOLA,FL,32501-1857,,"Health organization in PENSACOLA, FL with annual revenue of approximately $114M",
WILLIAM CAREY UNIVERSITY,640329300,Other,710 WILLIAM CAREY PARKWAY WCU BOX 1,HATTIESBURG,MS,39401-7842,,"Other organization in HATTIESBURG, MS with annual revenue of approximately $114M",
DISTRIBUTION COOPERATIVE INC,331113484,Community,1281 HIGHWAY 155 S,MC DONOUGH,GA,30253-7316,,"Community organization in MC DONOUGH, GA with annual revenue of approximately $114M",
EARLY LEARNING COALITION OF DUVAL INC,593688924,Education,6500 BOWDEN RD STE 290,JACKSONVILLE,FL,32216-8085,,"Education organization in JACKSONVILLE, FL with annual revenue of approximately $114M",
THRIVENT CHARITABLE IMPACT & INVESTING,411802412,Community,600 PORTLAND AVE STE 4100,MINNEAPOLIS,MN,55415-4402,,"Community organization in MINNEAPOLIS, MN with annual revenue of approximately $114M",
PRACTISING LAW INSTITUTE,135562321,Education,1177 AVENUE OF THE AMERICAS,NEW YORK,NY,10036-2714,,"Education organization in NEW YORK, NY with annual revenue of approximately $114M",
CARSON-TAHOE HEALTH SYSTEM,880502318,Health,1600 MEDICAL PKWY,CARSON CITY,NV,89703-4625,,"Health organization in CARSON CITY, NV with annual revenue of approximately $114M",
AUSTIN COMMUNITY FOUNDATION,741934031,Community,4315 GUADALUPE ST STE 300,AUSTIN,TX,78751-3644,,"Community organization in AUSTIN, TX with annual revenue of approximately $114M",
GREENWICH COUNTRY DAY SCHOOL INC,060646657,Education,OLD CHURCH RD BOX 623,GREENWICH,CT,06836-0000,,"Education organization in GREENWICH, CT with annual revenue of approximately $114M",
MOUNT DESERT ISLAND HOSPITAL,010211797,Health,10 WAYMAN LN,BAR HARBOR,ME,04609-1625,,"Health organization in BAR HARBOR, ME with annual revenue of approximately $114M",
GOODWIN HOUSE INCORPORATED,540623670,Human Services,4800 FILLMORE AVENUE,ALEXANDRIA,VA,22311-5070,,"Human Services organization in ALEXANDRIA, VA with annual revenue of approximately $114M",
EASTER SEALS NEW HAMPSHIRE INC,020272825,Human Services,555 AUBURN ST,MANCHESTER,NH,03103-4803,,"Human Services organization in MANCHESTER, NH with annual revenue of approximately $114M",
KNAPP MEDICAL CENTER,741393060,Health,PO BOX 1110,WESLACO,TX,78599-1110,,"Health organization in WESLACO, TX with annual revenue of approximately $114M",
ALICE HYDE MEDICAL CENTER,150346515,Health,133 PARK STREET,MALONE,NY,12953-1244,,"Health organization in MALONE, NY with annual revenue of approximately $114M",
AMERICAN COMMITTEE FOR THE WEIZMANN INSTITUTE OF SCIENCE INC,131623886,International,633 THIRD AVENUE 20TH FL,NEW YORK,NY,10017-8156,,"International organization in NEW YORK, NY with annual revenue of approximately $114M",
