name,ein,category,city,state,website,description
Palmer Second Baptist Church,000019818,Religious,PALMER,MA,,"Religious organization in PALMER, MA"
Bethany Presbyterian Church,000852649,Religious,BROOKLINE,MA,,"Religious organization in BROOKLINE, MA"
Bangor Symphony Orchestra,010024645,Arts & Culture,BANGOR,ME,,"Arts & Culture organization in BANGOR, ME"
Bridgton Hospital,010130427,Health,BRIDGTON,ME,,"Health organization in BRIDGTON, ME"
Rangeley Library Association,010147000,Other,RANGELEY,ME,,"Other organization in RANGELEY, ME"
Womens Board Of The Maine Medical Center,010199596,Health,PORTLAND,ME,,"Health organization in PORTLAND, ME"
Heart Of Maine United Way,010211478,Health,BANGOR,ME,,"Health organization in BANGOR, ME"
Mt Desert Island YMCA,010211486,Other,BAR HARBOR,ME,,"Other organization in BAR HARBOR, ME"
Central Maine Medical Center,010211494,Health,LEWISTON,ME,,"Health organization in LEWISTON, ME"
President & Trustees Of Colby College,010211497,Education,WATERVILLE,ME,,"Education organization in WATERVILLE, ME"
Dyer Library Association,010211500,Other,SACO,ME,,"Other organization in SACO, ME"
Eastport Public Library Association,010211502,Other,EASTPORT,ME,,"Other organization in EASTPORT, ME"
Maine Historical Society,010211530,Other,PORTLAND,ME,,"Other organization in PORTLAND, ME"
Kents Hill School,010211532,Education,KENTS HILL,ME,,"Education organization in KENTS HILL, ME"
Mcarthur Library Association,010211533,Other,BIDDEFORD,ME,,"Other organization in BIDDEFORD, ME"
Mercy Hospital,010211534,Health,PORTLAND,ME,,"Health organization in PORTLAND, ME"
Oak Grove School,010211537,Education,E VASSALBORO,ME,,"Education organization in E VASSALBORO, ME"
Patten Free Library,010211539,Other,BATH,ME,,"Other organization in BATH, ME"
Redington Memorial Hospital Association,010211548,Health,SKOWHEGAN,ME,,"Health organization in SKOWHEGAN, ME"
St Marys Regional Medical Center,010211551,Health,LEWISTON,ME,,"Health organization in LEWISTON, ME"
Scot-webb Memorial Medical Center,010211557,Health,PALMYRA,ME,,"Health organization in PALMYRA, ME"
Waynflete School,010211565,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
YWCA Of Mount Desert Island,010211569,Other,BAR HARBOR,ME,,"Other organization in BAR HARBOR, ME"
YWCA Central Maine,010211570,Other,LEWISTON,ME,,"Other organization in LEWISTON, ME"
Abbe Museum,010211777,Arts & Culture,BAR HARBOR,ME,,"Arts & Culture organization in BAR HARBOR, ME"
President And Trustees Of Bates College,010211781,Education,LEWISTON,ME,,"Education organization in LEWISTON, ME"
Cheverus High School,010211785,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
First Baptist Church In Portland Maine,010211789,Religious,PORTLAND,ME,,"Religious organization in PORTLAND, ME"
Mount Desert Island Hospital,010211797,Health,BAR HARBOR,ME,,"Health organization in BAR HARBOR, ME"
Plummer Memorial Hospital,010211803,Health,DEXTER,ME,,"Health organization in DEXTER, ME"
University Of New England,010211810,Education,BIDDEFORD,ME,,"Education organization in BIDDEFORD, ME"
Kennebec Valley YMCA,010211811,Other,AUGUSTA,ME,,"Other organization in AUGUSTA, ME"
Bath Area Family YMCA,010211812,Other,BATH,ME,,"Other organization in BATH, ME"
Penobscot Bay YMCA,010211813,Other,ROCKPORT,ME,,"Other organization in ROCKPORT, ME"
St Joseph Hospital,010212435,Health,BANGOR,ME,,"Health organization in BANGOR, ME"
York Hospital,010212444,Health,YORK,ME,,"Health organization in YORK, ME"
Trustees Of St Josephs College,010212542,Education,STANDISH,ME,,"Education organization in STANDISH, ME"
Eastport Memorial Hospital,010213979,Health,EASTPORT,ME,,"Health organization in EASTPORT, ME"
Jesup Memorial Library,010214017,Other,BAR HARBOR,ME,,"Other organization in BAR HARBOR, ME"
Ogunquit Memorial Library,010214019,Other,OGUNQUIT,ME,,"Other organization in OGUNQUIT, ME"
Bowdoin College,010215213,Education,BRUNSWICK,ME,,"Education organization in BRUNSWICK, ME"
Rumford Hospital,010215227,Health,RUMFORD,ME,,"Health organization in RUMFORD, ME"
Rice Public Library,010215686,Other,KITTERY,ME,,"Other organization in KITTERY, ME"
Bangor Humane Society,010215910,Environment/Animals,BANGOR,ME,,"Environment/Animals organization in BANGOR, ME"
Buck Memorial Library,010215913,Other,BUCKSPORT,ME,,"Other organization in BUCKSPORT, ME"
