name,ein,category,address,city,state,zip_code,website,description,phone
DIMENSIONS HEALTHCARE ASSOCIATES,521902711,Health,900 ELKRIDGE LANDING RD 3W,LINTHICUM HEIGHTS,MD,21090-2924,,"Health organization in LINTHICUM HEIGHTS, MD with annual revenue of approximately $32M",
COLORADO AFFORDABLE CATHOLIC HOUSING CORP,841183023,Human Services,6240 SMITH RD,DENVER,CO,80216-4632,,"Human Services organization in DENVER, CO with annual revenue of approximately $32M",
FIRST STEP INC,710307372,Other,PO BOX 2440,HOT SPRINGS,AR,71914-2440,,"Other organization in HOT SPRINGS, AR with annual revenue of approximately $32M",
COUNCIL FOR ADVANCEMENT AND SUPPORT OF EDUCATION,521012307,Other,1201 EYE ST NW 300,WASHINGTON,DC,20005-5909,,"Other organization in WASHINGTON, DC with annual revenue of approximately $32M",
DILEY RIDGE MEDICAL CENTER,342032340,Health,3100 EASTON SQUARE PL STE 300,COLUMBUS,OH,43219-6290,,"Health organization in COLUMBUS, OH with annual revenue of approximately $31M",
PLANNED PARENTHOOD OF GREATER TEXAS,521243220,Health,7424 GREENVILLE AVE STE 206,DALLAS,TX,75231-4534,,"Health organization in DALLAS, TX with annual revenue of approximately $31M",
CENTER FOR TRANSPORTATION AND THE ENVIROMENT INC,582052891,Research,730 PEACHTREE ST NE STE 450,ATLANTA,GA,30308-1244,,"Research organization in ATLANTA, GA with annual revenue of approximately $31M",
COMMUNITY ACTION MARIN,946136365,Human Services,7665 REDWOOD BLVD,SAN RAFAEL,CA,94945-1405,,"Human Services organization in SAN RAFAEL, CA with annual revenue of approximately $31M",
HERITAGE UNIVERSITY,911160585,Education,3240 FORT RD,TOPPENISH,WA,98948-9599,,"Education organization in TOPPENISH, WA with annual revenue of approximately $31M",
J ARTHUR TRUDEAU MEMORIAL CENTER,050310093,Other,3445 POST RD,WARWICK,RI,02886-7147,,"Other organization in WARWICK, RI with annual revenue of approximately $31M",
MIRA BELLA,342030255,Human Services,116 FAIRVIEW AVENUE NORTH,SEATTLE,WA,98109-5360,,"Human Services organization in SEATTLE, WA with annual revenue of approximately $31M",
INTEGRATED COMMUNITY ALTERNATIVES NETWORK INC,161541078,Other,310 MAIN ST,UTICA,NY,13501-1236,,"Other organization in UTICA, NY with annual revenue of approximately $31M",
KOINONIA FOSTER HOMES INC,942792265,Other,PO BOX 1403,LOOMIS,CA,95650-1403,,"Other organization in LOOMIS, CA with annual revenue of approximately $31M",
ASCENSION VIA CHRISTI HEALTH INC,481172107,Health,PO BOX 45998,SAINT LOUIS,MO,63145-5998,,"Health organization in SAINT LOUIS, MO with annual revenue of approximately $31M",
THE LENFEST INST FOR JOURNALISM SPE ASSET FUND OF THE PHL FOUNDATION,043731829,Community,1835 MARKET ST STE 2410,PHILADELPHIA,PA,19103-2909,,"Community organization in PHILADELPHIA, PA with annual revenue of approximately $31M",
PHOENIX GOSPEL MISSION,866057771,Religion,338 N 15TH AVE,PHOENIX,AZ,85007-2402,,"Religion organization in PHOENIX, AZ with annual revenue of approximately $31M",
CENTRAL OKLAHOMA UNITED METHODIST RETIREMENT FACILITY INC,731292317,Human Services,14901 N PENNSYLVANIA AVENUE,OKLAHOMA CITY,OK,73134-6069,,"Human Services organization in OKLAHOMA CITY, OK with annual revenue of approximately $31M",
THE MATHER EVANSTON,205860808,Human Services,1560 SHERMAN AVE STE 1010,EVANSTON,IL,60201-4803,,"Human Services organization in EVANSTON, IL with annual revenue of approximately $31M",
GOSNOLD INC,042502970,Other,200 TER HEUN DR,FALMOUTH,MA,02540-2525,,"Other organization in FALMOUTH, MA with annual revenue of approximately $31M",
CORNERSTONE MONTGOMERY INC,520937199,Other,2 TAFT CT STE 200,ROCKVILLE,MD,20850-1390,,"Other organization in ROCKVILLE, MD with annual revenue of approximately $31M",
AREA RESOURCES FOR COMMUNITY AND HUMAN SERVICES,311611583,Human Services,539 N GRAND 6TH FLOOR,ST LOUIS,MO,63103-1026,,"Human Services organization in ST LOUIS, MO with annual revenue of approximately $31M",
VILLAGE AT ORCHARD RIDGE INC,263445374,Human Services,5275 WESTVIEW DR STE 110,FREDERICK,MD,21703-8548,,"Human Services organization in FREDERICK, MD with annual revenue of approximately $31M",
HALO NETWORK INC,270408181,Education,300 MERRICK RD,AMITYVILLE,NY,11701-3448,,"Education organization in AMITYVILLE, NY with annual revenue of approximately $31M",
REDEEMER CITY TO CITY,383773431,Religion,150 WEST 83RD STREET SUITE 4F,NEW YORK,NY,10024-5259,,"Religion organization in NEW YORK, NY with annual revenue of approximately $31M",
YOUNG MENS CHRISTIAN ASSOCIATION OF THE SUNCOAST INC,590810731,Human Services,2469 ENTERPRISE RD,CLEARWATER,FL,33763-1702,,"Human Services organization in CLEARWATER, FL with annual revenue of approximately $31M",
OMAHA ZOO FOUNDATION,363297716,Health,3701 S 10TH ST,OMAHA,NE,68107-2299,,"Health organization in OMAHA, NE with annual revenue of approximately $31M",
PROGRESS FOUNDATION,941716828,Health,368 FELL ST,SAN FRANCISCO,CA,94102-5144,,"Health organization in SAN FRANCISCO, CA with annual revenue of approximately $31M",
GRAYS HARBOR COMMUNITY FOUNDATION,911607005,Community,PO BOX 615,HOQUIAM,WA,98550-0615,,"Community organization in HOQUIAM, WA with annual revenue of approximately $31M",
UNITED WAY OF BROWARD COUNTY,590624402,Community,1300 S ANDREWS AVE,FT LAUDERDALE,FL,33316-1838,,"Community organization in FT LAUDERDALE, FL with annual revenue of approximately $31M",
WAIKIKI HEALTH,990159253,Health,277 OHUA AVE,HONOLULU,HI,96815-6612,,"Health organization in HONOLULU, HI with annual revenue of approximately $31M",
DALLAS MENNONITE RETIREMENT COMMUNITY INC,930415213,Human Services,377 NW JASPER ST,DALLAS,OR,97338-1279,,"Human Services organization in DALLAS, OR with annual revenue of approximately $31M",
FLORIDA CITRUS SPORTS EVENTS INC,593021238,Human Services,1 CITRUS BOWL PL,ORLANDO,FL,32805-2459,,"Human Services organization in ORLANDO, FL with annual revenue of approximately $31M",
READING PARTNERS,770568469,Education,638 3RD ST,OAKLAND,CA,94607-3551,,"Education organization in OAKLAND, CA with annual revenue of approximately $31M",
WATER ENVIRONMENT FEDERATION,530225129,Environment,601 WYTHE ST,ALEXANDRIA,VA,22314-1919,,"Environment organization in ALEXANDRIA, VA with annual revenue of approximately $31M",
MFI RECOVERY CENTER,952833715,Other,5870 ARLINGTON AVE,RIVERSIDE,CA,92504-2037,,"Other organization in RIVERSIDE, CA with annual revenue of approximately $31M",
HOSPICE OF THE WESTERN RESERVE AT UNIVERSITY HOSPITALS LLC,832806180,Other,17876 SAINT CLAIR AVE,CLEVELAND,OH,44110-2602,,"Other organization in CLEVELAND, OH with annual revenue of approximately $31M",
UNIVERSITY OF MASSACHUSETTS AMHERST FOUNDATION INC,542084125,Education,134 HICKS WAY,AMHERST,MA,01003-9270,,"Education organization in AMHERST, MA with annual revenue of approximately $31M",
ARMAND HAMMER MUSEUM OF ART AND CULTURAL CENTER INC,954217197,Arts & Culture,10899 WILSHIRE BLVD,LOS ANGELES,CA,90024-4343,,"Arts & Culture organization in LOS ANGELES, CA with annual revenue of approximately $31M",
COMMUNITY DENTAL CARE,043692982,Health,1670 BEAM AVE STE 204,MAPLEWOOD,MN,55109-1227,,"Health organization in MAPLEWOOD, MN with annual revenue of approximately $31M",
WELTY HOME FOR THE AGED INC,550362615,Human Services,159 EDGINGTON LN,WHEELING,WV,26003-1542,,"Human Services organization in WHEELING, WV with annual revenue of approximately $31M",
METROPOLITAN PUBLIC DEFENDER SERVICE INC,930591637,Other,101 SOUTHWEST MAIN STREET,PORTLAND,OR,97204-3228,,"Other organization in PORTLAND, OR with annual revenue of approximately $31M",
HARLEM CHILDRENS ZONE PROMISE ACADEMY CHARTER SCHOOL,760756768,Education,35 E 125TH ST,NEW YORK,NY,10035-1816,,"Education organization in NEW YORK, NY with annual revenue of approximately $31M",
EIHAB HUMAN SERVICES INC,113376415,Human Services,16818 S CONDUIT AVENUE,JAMAICA,NY,11434-4806,,"Human Services organization in JAMAICA, NY with annual revenue of approximately $31M",
