charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_3_name,item_3_category,item_3_condition,item_3_quantity
SHRINERS HOSPITALS FOR CHILDREN,2023-12-27,miles,119.26,178 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2023-12-28,cash,150,General support,,,,,,,,,,,,
UNITED WAY,2024-01-02,items,,Estate donation,Washer/Dryer Combo,Appliances,very_good,1,Ironing Board,Appliances,excellent,1,Vacuum - Dyson,Appliances,excellent,1
AMERICAN HEART ASSOCIATION,2024-01-11,miles,35.51,53 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
UNITED WAY,2024-01-08,cash,100,General support,,,,,,,,,,,,
UNITED WAY,2024-01-09,cash,200,General support,,,,,,,,,,,,
YMCA,2024-01-14,cash,400,Special appeal,,,,,,,,,,,,
SALVATION ARMY,2024-01-09,cash,300,Year-end giving,,,,,,,,,,,,
UNITED WAY,2024-01-11,cash,75,Annual contribution,,,,,,,,,,,,
AMERICAN RED CROSS,2024-01-14,items,,Year-end donation,Range - Electric,Appliances,excellent,1,Vacuum - Handheld,Appliances,very_good,1,Vacuum - Canister,Appliances,good,1
AMERICAN RED CROSS,2024-01-18,cash,500,Year-end giving,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-01-17,items,,Moving donation,Freezer - Upright,Appliances,very_good,1,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-01-23,items,,Moving donation,Desk Chair,Furniture,very_good,1,Sofa - Sectional,Furniture,good,1,Nightstand,Furniture,excellent,3
FEEDING AMERICA,2024-01-21,items,,Seasonal donation,Coffee Grinder,Appliances,excellent,1,Air Purifier,Appliances,good,4,Washer,Appliances,excellent,2
SHRINERS HOSPITALS FOR CHILDREN,2024-01-27,stock,1828.93,Microsoft - 5 shares at $365.79/share,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-01-30,items,,Seasonal donation,Sauce Pan,Household Items,very_good,1,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-02-03,cash,100,Emergency fund,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-01-29,stock,8118.22,Tesla - 36 shares at $225.51/share,,,,,,,,,,,,
UNITED WAY,2024-01-31,cash,75,Special appeal,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-02-01,cash,250,Annual contribution,,,,,,,,,,,,
AMERICAN RED CROSS,2024-02-08,crypto,186.15,Cardano donation - 420.8 units,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-02-09,cash,200,Annual contribution,,,,,,,,,,,,
AMERICAN RED CROSS,2024-02-06,miles,99.83,149 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
Local Social Foundation,2024-02-18,items,,Moving donation,Blanket - Electric,Household Items,very_good,1,Curtains - Living,Household Items,good,1,Cutting Board,Household Items,very_good,4
YMCA,2024-02-20,miles,64.32,96 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-02-12,cash,300,Monthly donation,,,,,,,,,,,,
Community Social Center,2024-02-24,items,,Moving donation,Coffee Mugs,Household Items,very_good,2,Blanket - Throw,Household Items,good,1,Utensil Set,Household Items,excellent,1
SHRINERS HOSPITALS FOR CHILDREN,2024-02-20,miles,66.33,99 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
Local Social Foundation,2024-02-26,cash,300,Monthly donation,,,,,,,,,,,,
