charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_1_value,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_2_value,item_3_name,item_3_category,item_3_condition,item_3_quantity,item_3_value
Local Arts Foundation,2023-12-31,items,1220.0,Decluttering donation,TV - 55 inch,Electronics,excellent,1,475.0,Camera - DSLR,Electronics,excellent,1,700.0,Microphone,Electronics,very_good,1,45.0
METROPOLITAN MUSEUM OF ART,2024-01-05,cash,500,Special appeal,,,,,,,,,,,,,,,
MAYO CLINIC,2024-01-05,cash,200,Annual contribution,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-01-11,cash,150,General support,,,,,,,,,,,,,,,
Local Arts Foundation,2024-01-14,items,25.0,Decluttering donation,Video Game - Recent,Books & Media,very_good,1,15.0,Children's Books Set,Books & Media,good,1,10.0,,,,,
SMITHSONIAN INSTITUTION,2024-01-06,cash,150,General support,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-01-12,cash,100,General support,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-01-19,items,35.0,Seasonal donation,Speakers - Computer,Electronics,very_good,1,35.0,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-01-18,cash,50,Special appeal,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-01-19,cash,150,General support,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-01-27,cash,100,Annual contribution,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-01-23,cash,400,General support,,,,,,,,,,,,,,,
MAYO CLINIC,2024-01-26,items,574.0,Decluttering donation,Smartphone - Android Mid,Electronics,very_good,1,110.0,Flash Drive Set,Electronics,excellent,2,64.0,Laptop - Gaming,Electronics,good,1,400.0
NATIONAL PUBLIC RADIO,2024-01-24,cash,250,Year-end giving,,,,,,,,,,,,,,,
Community Arts Center,2024-02-05,cash,75,Annual contribution,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-01-31,cash,75,Year-end giving,,,,,,,,,,,,,,,
